year,proposal_id,proposal_title,comparison_type,criterion,tfidf_similarity,embedding_similarity,keyword_overlap_count,keyword_jaccard,topic_similarity,sentiment_alignment,sentiment_agreement,polarity_1,polarity_2,sentiment_label_1,sentiment_label_2,polarity_correlation,human_reviewer_id,ai_source
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,All Justifications Combined,0.17522178470320476,0.8848480401864129,3,0.08108108108108109,0.02297592351485839,0.8916802881758764,partial,0.04744999999999999,0.2640894236482472,neutral,positive,same_direction,1.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,All Justifications Combined,0.3680849262730522,0.9266653946654814,8,0.25,0.022184376541491316,0.9495837071054317,agree,0.1632568378591106,0.2640894236482472,positive,positive,same_direction,2.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,All Justifications Combined,0.14104668850903188,0.8389485866089721,5,0.14285714285714285,0.02429156741669629,0.9555054134891596,agree,0.17510025062656642,0.2640894236482472,positive,positive,same_direction,3.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,All Justifications Combined,0.16228550757241836,0.8079972727492135,5,0.14285714285714285,0.9999684515658415,0.8931356633562516,partial,0.050360750360750384,0.2640894236482472,neutral,positive,same_direction,4.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,All Justifications Combined,0.14533347191239893,0.8218067870242857,6,0.17647058823529413,0.027911786437106206,0.9534040876146139,agree,0.2262531328320802,0.13306130806130806,positive,positive,same_direction,1.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,All Justifications Combined,0.18780753672077827,0.7836960557887316,8,0.25,0.027890975552779963,0.9924628524628525,agree,0.11798701298701297,0.13306130806130806,positive,positive,same_direction,2.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,All Justifications Combined,0.18102610625095925,0.8625315426668929,4,0.1111111111111111,0.023632623378716452,0.9829493048243048,agree,0.16716269841269846,0.13306130806130806,positive,positive,same_direction,3.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,All Justifications Combined,0.3049182268782509,0.9417580056638113,7,0.21212121212121213,0.02387908528868434,0.9913822245006456,agree,0.12124386724386724,0.10400831624515836,positive,positive,same_direction,1.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,All Justifications Combined,0.12142283864439252,0.8371991286678134,2,0.05263157894736842,0.03119251822022075,0.9702604606435876,agree,0.1634873949579832,0.10400831624515836,positive,positive,same_direction,2.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,All Justifications Combined,0.19309745932631733,0.8231519593091575,4,0.1111111111111111,0.028396322688436084,0.9374208247892458,agree,0.22916666666666663,0.10400831624515836,positive,positive,same_direction,3.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,All Justifications Combined,0.1626719030973453,0.8726066598509513,4,0.1111111111111111,0.028031352264383743,0.9996689932874143,agree,0.10467032967032971,0.10400831624515836,positive,positive,same_direction,4.0,human_y1
y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,human-ai,All Justifications Combined,0.15417004041829205,0.8489877742714571,4,0.1111111111111111,0.9999966183163672,0.955698698576057,agree,0.10001803751803752,0.1886206403659234,positive,positive,same_direction,1.0,human_y1
y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,human-ai,All Justifications Combined,0.1851020150528739,0.8569720559592406,6,0.17647058823529413,0.022894424634400543,0.9733668669709696,agree,0.13535437430786268,0.1886206403659234,positive,positive,same_direction,2.0,human_y1
y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,human-ai,All Justifications Combined,0.18232647740285943,0.8336088515118214,3,0.08108108108108109,0.9999964473978917,0.9812749972773558,agree,0.15117063492063493,0.1886206403659234,positive,positive,same_direction,3.0,human_y1
y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,human-ai,All Justifications Combined,0.2726061621915106,0.9225024515478996,6,0.17647058823529413,0.022749025896737038,0.9705517669082794,agree,0.24751710654936468,0.1886206403659234,positive,positive,same_direction,4.0,human_y1
y1,5,Energetic Origins of Connectivity within Protein Interaction Networks,human-ai,All Justifications Combined,0.0773840300597344,0.7898027322868302,2,0.05263157894736842,0.025014505510141928,0.9893194702123274,agree,0.12531746031746033,0.10395640074211504,positive,positive,same_direction,1.0,human_y1
y1,5,Energetic Origins of Connectivity within Protein Interaction Networks,human-ai,All Justifications Combined,0.09243847614545361,0.7521054231554133,2,0.05263157894736842,0.023413184333307892,0.9945734384662956,agree,0.11480952380952379,0.10395640074211504,positive,positive,same_direction,2.0,human_y1
y1,5,Energetic Origins of Connectivity within Protein Interaction Networks,human-ai,All Justifications Combined,0.16204555486847957,0.8514889564280739,3,0.08108108108108109,0.023457109175922905,0.9588567384995956,agree,0.18624292374292378,0.10395640074211504,positive,positive,same_direction,3.0,human_y1
y1,5,Energetic Origins of Connectivity within Protein Interaction Networks,human-ai,All Justifications Combined,0.13908003556658857,0.8520289050475389,4,0.1111111111111111,0.023692865364041554,0.9876905293367347,partial,0.07933745941558441,0.10395640074211504,neutral,positive,same_direction,4.0,human_y1
y1,6,Elucidating emergent structures in cellular RNA-protein interaction networks,human-ai,All Justifications Combined,0.2358695047217423,0.879540493795957,5,0.14285714285714285,0.02358169156834347,0.9874804505135387,agree,0.2157242063492064,0.24076330532212892,positive,positive,same_direction,1.0,human_y1
y1,6,Elucidating emergent structures in cellular RNA-protein interaction networks,human-ai,All Justifications Combined,0.17285179157377567,0.8271994419019135,6,0.17647058823529413,0.999999183815778,0.9808336251167133,agree,0.20243055555555556,0.24076330532212892,positive,positive,same_direction,2.0,human_y1
y1,6,Elucidating emergent structures in cellular RNA-protein interaction networks,human-ai,All Justifications Combined,0.1567940001325474,0.8496782807391414,5,0.14285714285714285,0.02374508742618563,0.9754290517860037,agree,0.19162140889413623,0.24076330532212892,positive,positive,same_direction,3.0,human_y1
y1,6,Elucidating emergent structures in cellular RNA-protein interaction networks,human-ai,All Justifications Combined,0.1714095273673298,0.8485946109845159,4,0.1111111111111111,0.022850470406143998,0.9303295409072719,agree,0.10142238713667283,0.24076330532212892,positive,positive,same_direction,4.0,human_y1
y1,7,Elucidating the Role of Disordered Proteins in Cellular Adaptation,human-ai,All Justifications Combined,0.10504023327045615,0.8663924522098321,2,0.05263157894736842,0.021662069365364772,0.9258132478417778,partial,0.07121327254305977,0.21958677685950412,neutral,positive,same_direction,1.0,human_y1
y1,7,Elucidating the Role of Disordered Proteins in Cellular Adaptation,human-ai,All Justifications Combined,0.05575545806507554,0.8663470638781884,1,0.02564102564102564,0.9999754761838717,0.9496188139512003,agree,0.11882440476190477,0.21958677685950412,positive,positive,same_direction,2.0,human_y1
y1,7,Elucidating the Role of Disordered Proteins in Cellular Adaptation,human-ai,All Justifications Combined,0.08227383484099231,0.8296349825319093,2,0.05263157894736842,0.9999999996387278,0.9423700731087095,agree,0.10432692307692307,0.21958677685950412,positive,positive,same_direction,3.0,human_y1
y1,7,Elucidating the Role of Disordered Proteins in Cellular Adaptation,human-ai,All Justifications Combined,0.13571349128564278,0.8863820653583856,3,0.08108108108108109,0.9999965936411906,0.925318941768785,partial,0.07022466039707419,0.21958677685950412,neutral,positive,same_direction,4.0,human_y1
y1,8,Multimodal Single-Cell Frameworks for Cell Lines with Extensive Multi-Omics Data,human-ai,All Justifications Combined,0.11752207372381208,0.7652475124884711,5,0.14285714285714285,0.02615218524339817,0.9710324756696936,partial,0.09454887218045112,0.15248392084106374,neutral,positive,same_direction,1.0,human_y1
y1,8,Multimodal Single-Cell Frameworks for Cell Lines with Extensive Multi-Omics Data,human-ai,All Justifications Combined,0.11259444056024624,0.7761507816438591,2,0.05263157894736842,0.025113714391018276,0.9316361045646759,agree,0.2892117117117118,0.15248392084106374,positive,positive,same_direction,2.0,human_y1
