year,proposal_id,proposal_title,comparison_type,criterion,tfidf_similarity,embedding_similarity,keyword_overlap_count,keyword_jaccard,topic_similarity,sentiment_alignment,sentiment_agreement,polarity_1,polarity_2,sentiment_label_1,sentiment_label_2,polarity_correlation,reviewer_1_id,reviewer_2_id
y1,1.0,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-human,Overall Rating,0.14396429184146708,0.9037676116188067,7,0.21212121212121213,0.027065892128018985,0.9177987012987012,partial,0.01825396825396825,0.1826565656565657,neutral,positive,same_direction,1.0,2.0
y1,1.0,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-human,Overall Rating,0.03974520231451636,0.8058586479901075,2,0.05263157894736842,0.9998679361301065,0.8706084656084656,partial,0.01825396825396825,0.277037037037037,neutral,positive,same_direction,1.0,3.0
y1,1.0,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-human,Overall Rating,0.1258433589802587,0.879638005749904,7,0.21212121212121213,0.999990310608014,0.9992979242979243,agree,0.01825396825396825,0.016849816849816845,neutral,neutral,same_direction,1.0,4.0
y1,1.0,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-human,Overall Rating,0.04347828167427051,0.8017147466061968,0,0.0,0.03588658192001848,0.9528097643097644,agree,0.1826565656565657,0.277037037037037,positive,positive,same_direction,2.0,3.0
y1,1.0,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-human,Overall Rating,0.11295630900460217,0.8472761351723871,6,0.17647058823529413,0.03012718728756719,0.9170966255966255,partial,0.1826565656565657,0.016849816849816845,positive,neutral,same_direction,2.0,4.0
y1,1.0,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-human,Overall Rating,0.01879265779411416,0.7845413735416297,1,0.02564102564102564,0.04324306532101309,0.8699063899063899,partial,0.277037037037037,0.016849816849816845,positive,neutral,same_direction,3.0,4.0
y1,2.0,Elucidating genome structure-function relationships in human brain cells,human-human,Overall Rating,0.008023241199400585,0.7388983395018097,1,0.02564102564102564,0.05925416675674495,0.7695165945165945,agree,0.65,0.18903318903318903,positive,positive,same_direction,1.0,2.0
y1,2.0,Elucidating genome structure-function relationships in human brain cells,human-human,Overall Rating,0.032771161984340234,0.7194505208351641,1,0.02564102564102564,0.05141026603593729,0.758994708994709,agree,0.65,0.16798941798941802,positive,positive,same_direction,1.0,3.0
y1,2.0,Elucidating genome structure-function relationships in human brain cells,human-human,Overall Rating,0.1097583401122781,0.7617045482855582,3,0.08108108108108109,0.03772647321520603,0.9894781144781145,agree,0.18903318903318903,0.16798941798941802,positive,positive,same_direction,2.0,3.0
y1,3.0,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-human,Overall Rating,0.0,0.5949195263258749,0,0.0,0.06847365755594022,0.863125,agree,0.10124999999999999,0.375,positive,positive,same_direction,1.0,2.0
y1,3.0,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-human,Overall Rating,0.041701421763149844,0.8554802223057532,1,0.02564102564102564,0.04541502743485945,0.803125,agree,0.10124999999999999,0.495,positive,positive,same_direction,1.0,3.0
y1,3.0,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-human,Overall Rating,0.065488602919619,0.8055805752810392,2,0.05263157894736842,0.0388751528402341,0.9594196428571429,partial,0.10124999999999999,0.020089285714285712,positive,neutral,same_direction,1.0,4.0
y1,3.0,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-human,Overall Rating,0.0,0.6291192761470596,0,0.0,0.07371152874761935,0.94,agree,0.375,0.495,positive,positive,same_direction,2.0,3.0
y1,3.0,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-human,Overall Rating,0.0,0.6237594650992208,0,0.0,0.0669371763479911,0.8225446428571428,partial,0.375,0.020089285714285712,positive,neutral,same_direction,2.0,4.0
y1,3.0,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-human,Overall Rating,0.049493867929667146,0.7219905601325056,0,0.0,0.9999369607778066,0.7625446428571429,partial,0.495,0.020089285714285712,positive,neutral,same_direction,3.0,4.0
y1,4.0,Synthesizing gene expression data to create an atlas of bacterial cell states,human-human,Overall Rating,0.04329452481462352,0.7717624306650184,2,0.05263157894736842,0.03733955705302496,0.9632539682539683,agree,0.10865079365079365,0.18214285714285713,positive,positive,same_direction,1.0,2.0
y1,4.0,Synthesizing gene expression data to create an atlas of bacterial cell states,human-human,Overall Rating,0.07667159106813781,0.8188217938657816,1,0.02564102564102564,0.03569107589007854,0.9714550264550265,agree,0.10865079365079365,0.16574074074074072,positive,positive,same_direction,1.0,3.0
y1,4.0,Synthesizing gene expression data to create an atlas of bacterial cell states,human-human,Overall Rating,0.08464178922436863,0.8353782460147614,2,0.05263157894736842,0.04074860329404906,0.9356216931216932,agree,0.10865079365079365,0.2374074074074074,positive,positive,same_direction,1.0,4.0
y1,4.0,Synthesizing gene expression data to create an atlas of bacterial cell states,human-human,Overall Rating,0.11454111398660391,0.7730141616573858,4,0.1111111111111111,0.03235289621627865,0.9917989417989418,agree,0.18214285714285713,0.16574074074074072,positive,positive,same_direction,2.0,3.0
y1,4.0,Synthesizing gene expression data to create an atlas of bacterial cell states,human-human,Overall Rating,0.09330194244717971,0.8625910236217562,4,0.1111111111111111,0.9999719627774648,0.9723677248677248,agree,0.18214285714285713,0.2374074074074074,positive,positive,same_direction,2.0,4.0
