proposal_1_id,proposal_2_id,proposal_1_title,proposal_2_title,proposal_1_who,proposal_2_who,tfidf_similarity,embedding_similarity,keyword_overlap_count,keyword_jaccard,topic_similarity
human_1,human_2,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Elucidating genome structure-function relationships in human brain cells,human,human,0.145879521628457,0.6388642321740274,2,0.05263157894736842,0.03133671064884509
human_1,human_3,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human,human,0.11668549028051538,0.6015658295847304,2,0.05263157894736842,0.02923960709573867
human_1,human_4,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Synthesizing gene expression data to create an atlas of bacterial cell states,human,human,0.1337378813218142,0.6632408310874721,4,0.1111111111111111,0.030382173614129336
human_1,human_5,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Energetic Origins of Connectivity within Protein Interaction Networks,human,human,0.11870991225602698,0.665958081843318,2,0.05263157894736842,0.02931340815527654
human_1,human_6,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Elucidating emergent structures in cellular RNA-protein interaction networks,human,human,0.1420223740828203,0.7095604172643182,4,0.1111111111111111,0.029413679766862856
human_1,human_7,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,human,human,0.0778857510635692,0.6914216410616996,1,0.02564102564102564,0.02992243964474698
human_1,human_9,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,human,human,0.14843266040433917,0.677389443964148,3,0.08108108108108109,0.028053258648179914
human_1,human_10,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Transposable elements and the emergence of genomic innovation,human,human,0.13832861342183156,0.6616924245207364,4,0.1111111111111111,0.027684154468809653
human_1,human_11,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,human,human,0.11204702080351767,0.641534028988747,2,0.05263157894736842,0.028724048188685014
human_1,human_12,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,human,human,0.08149416810946643,0.6185217393806501,2,0.05263157894736842,0.9999964650413709
human_2,human_1,Elucidating genome structure-function relationships in human brain cells,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human,human,0.14587952162845697,0.6388737836043334,2,0.05263157894736842,0.031336710618357896
human_2,human_3,Elucidating genome structure-function relationships in human brain cells,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human,human,0.1453158138894459,0.7000019039664018,3,0.08108108108108109,0.030113437500529597
human_2,human_4,Elucidating genome structure-function relationships in human brain cells,Synthesizing gene expression data to create an atlas of bacterial cell states,human,human,0.3282233809714461,0.7494770728551263,5,0.14285714285714285,0.029713886153671168
human_2,human_5,Elucidating genome structure-function relationships in human brain cells,Energetic Origins of Connectivity within Protein Interaction Networks,human,human,0.09199178303119339,0.690400888836873,1,0.02564102564102564,0.029767225566536194
human_2,human_6,Elucidating genome structure-function relationships in human brain cells,Elucidating emergent structures in cellular RNA-protein interaction networks,human,human,0.13177860628546822,0.7720761830483396,2,0.05263157894736842,0.03015279284981773
human_2,human_7,Elucidating genome structure-function relationships in human brain cells,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,human,human,0.09890287661617424,0.7192067134796614,1,0.02564102564102564,0.030566459164180527
human_2,human_9,Elucidating genome structure-function relationships in human brain cells,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,human,human,0.25323374217551764,0.8050942931737479,2,0.05263157894736842,0.02723107629786805
human_2,human_10,Elucidating genome structure-function relationships in human brain cells,Transposable elements and the emergence of genomic innovation,human,human,0.20656945866741833,0.7421972737541809,1,0.02564102564102564,0.027359237468247512
human_2,human_11,Elucidating genome structure-function relationships in human brain cells,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,human,human,0.11502851289803198,0.7057988209058068,1,0.02564102564102564,0.029716645947670435
human_2,human_12,Elucidating genome structure-function relationships in human brain cells,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,human,human,0.1044580626803661,0.7094277337810824,1,0.02564102564102564,0.0315166394775476
human_3,human_1,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human,human,0.11668549028051561,0.6014507662617004,2,0.05263157894736842,0.029239607094676053
human_3,human_2,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Elucidating genome structure-function relationships in human brain cells,human,human,0.14531581388944576,0.7000019039664018,3,0.08108108108108109,0.030113437473411695
human_3,human_4,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Synthesizing gene expression data to create an atlas of bacterial cell states,human,human,0.11860010711032455,0.7446966236682109,1,0.02564102564102564,0.9999879918611821
human_3,human_5,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Energetic Origins of Connectivity within Protein Interaction Networks,human,human,0.0862843483642192,0.611475757755674,1,0.02564102564102564,0.02826685873570318
human_3,human_6,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Elucidating emergent structures in cellular RNA-protein interaction networks,human,human,0.11122880022627356,0.7237267199774788,1,0.02564102564102564,0.02787087884665433
human_3,human_7,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,human,human,0.11103349037466355,0.7291866998326333,1,0.02564102564102564,0.027659951926281613
human_3,human_9,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,human,human,0.2447303270335757,0.7438915349422885,2,0.05263157894736842,0.025410416977049367
human_3,human_10,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Transposable elements and the emergence of genomic innovation,human,human,0.19977423435441902,0.706781749440113,1,0.02564102564102564,0.025282715161620735
human_3,human_11,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,human,human,0.17292325945500037,0.7001803576621337,1,0.02564102564102564,0.026199003399131185
human_3,human_12,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,human,human,0.2486484779848187,0.7371001609421711,3,0.08108108108108109,0.02630444661707183
human_4,human_1,Synthesizing gene expression data to create an atlas of bacterial cell states,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human,human,0.133737881321814,0.6632521830174581,4,0.1111111111111111,0.030382173777213126
human_4,human_2,Synthesizing gene expression data to create an atlas of bacterial cell states,Elucidating genome structure-function relationships in human brain cells,human,human,0.3282233809714469,0.7494829436505153,5,0.14285714285714285,0.02971388628375548
human_4,human_3,Synthesizing gene expression data to create an atlas of bacterial cell states,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human,human,0.11860010711032455,0.7446736629840569,1,0.02564102564102564,0.028669117983507453
human_4,human_5,Synthesizing gene expression data to create an atlas of bacterial cell states,Energetic Origins of Connectivity within Protein Interaction Networks,human,human,0.05990861213659239,0.7232001903793217,1,0.02564102564102564,0.02978550704412948
human_4,human_6,Synthesizing gene expression data to create an atlas of bacterial cell states,Elucidating emergent structures in cellular RNA-protein interaction networks,human,human,0.12836575408310327,0.8039298011809002,3,0.08108108108108109,0.029300167611771802
human_4,human_7,Synthesizing gene expression data to create an atlas of bacterial cell states,Oceans of Disorder: Elucidating the Role of Disordered Proteins in Cellular Adaptation,human,human,0.0863563361833699,0.7508660693156852,1,0.02564102564102564,0.029335530694630865
human_4,human_9,Synthesizing gene expression data to create an atlas of bacterial cell states,From image data and biophysical simulations to principles of mesoscale organization through integrated transfer learning,human,human,0.2015082167837072,0.8109069914363768,3,0.08108108108108109,0.02665190694025144
human_4,human_10,Synthesizing gene expression data to create an atlas of bacterial cell states,Transposable elements and the emergence of genomic innovation,human,human,0.1919133793544844,0.7758520486553337,4,0.1111111111111111,0.02558716850835057
human_4,human_11,Synthesizing gene expression data to create an atlas of bacterial cell states,Searching the crosslinking mass spectrometry universe for new protein-protein interactions,human,human,0.10329103640790095,0.7570593682956994,2,0.05263157894736842,0.027942060899611876
human_4,human_12,Synthesizing gene expression data to create an atlas of bacterial cell states,Intelligent metadata compilation to enhance the reusability and discoverability of mass spectrometry-based proteomics data,human,human,0.14783032923188777,0.7527252287260962,3,0.08108108108108109,0.9999932585896096
